ID Comet,NÚMERO de Estación,NOMBRE,DIRECCIÓN,BARRIO,COMUNA,EMPLAZAMIENTO,LATITUD,LONGITUD
2,2,RETIRO I,Av. Dr. José María Ramos Mejía 1300,RETIRO,COMUNA 1,PLAZA,-34.592.424.135.701.100,-5.837.470.989.599.140
3,3,ADUANA,Moreno 4,MONSERRAT,COMUNA 1,VEREDA,-346.111,-583.682
4,4,PLAZA ROMA,Av. Corrientes 100,SAN NICOLAS,COMUNA 1,VEREDA,-3.460.299.498.843.600,58.368.832.321.694.600
5,5,PLAZA ITALIA,Av. Sarmiento 2601,PALERMO,COMUNA 14,VEREDA,-345.807,-584.204
6,6,PARQUE LEZAMA,Av. Martín Garcia 295,SAN TELMO,COMUNA 1,PLAZA,-346.283,-583.694
7,7,OBELISCO,Carlos Pellegrini 215,SAN NICOLAS,COMUNA 1,PLAZOLETA,-346.055,-583.808
8,8,CONGRESO,Virrey Cevallos 84,MONSERRAT,COMUNA 1,PLAZA,-346.101,-583.891
9,9,PARQUE LAS HERAS,Av. Cnel. Diaz 2300,PALERMO,COMUNA 14,PLAZA,-345.856,-584.078
12,12,PLAZA VICENTE LOPEZ,Parana 1307,RECOLETA,COMUNA 2,PLAZA,-345.928,-583.886
13,13,ONCE,Av. Pueyrredón 3,BALVANERA,COMUNA 3,PLAZA,-346.101,-58.406
14,14,PACÍFICO,Av. Int. Bullrich 550,PALERMO,COMUNA 14,VEREDA,-345.778,-584.253
17,17,PLAZA ALMAGRO,Bulnes 441,ALMAGRO,COMUNA 5,CALZADA,-346.064,-584.185
21,21,PARQUE PATRICIOS,Iguazu 201,PARQUE PATRICIOS,COMUNA 4,PLAZOLETA,-346.403,-584.065
22,22,ARENALES,Cerrito 1234,RETIRO,COMUNA 1,PLAZOLETA,-345.943,-583.828
23,23,SUIPACHA,Suipacha 691,SAN NICOLAS,COMUNA 1,VEREDA,-346.003,-583.796
24,24,ALSINA,Bernardo Irigoyen 150,MONSERRAT,COMUNA 1,PLAZOLETA,-346.107,-583.806
25,25,PLAZA GÜEMES,Gral. Lucio Norberto Mensilla 3828,PALERMO,COMUNA 14,PLAZA,-345.897,-584.165
26,26,JUANA MANSO I,462 Emma de la Barra,PUERTO MADERO,COMUNA 1,VEREDA,-346.004,-583.639
27,27,MONTEVIDEO,Av. Córdoba 1606,SAN NICOLAS,COMUNA 1,VEREDA,-345.994,-583.897
29,29,PARQUE CENTENARIO,Av. Patricias Argentinas 74,CABALLITO,COMUNA 6,PLAZA,-34.608,-584.334
30,30,PEÑA,Peña 2300,RECOLETA,COMUNA 2,CALZADA,-345.906,-583.974
32,32,CATEDRAL,Bartolomé Mitre 470,SAN NICOLAS,COMUNA 1,VEREDA,-34.606.854.280.458.700,-5.837.323.075.981.730
33,33,FACULTAD DE MEDICINA,Pres. José Evaristo Uriburu 987,RECOLETA,COMUNA 2,VEREDA,-345.977,-583.989
35,35,INGENIERO BUTTY,Ing. Enrique Butty 291,RETIRO,COMUNA 1,PLAZOLETA,-345.962,-583.717
36,36,MAIPÙ,Tucumán 536,SAN NICOLAS,COMUNA 1,CALZADA,-34.600.989,-58.374.525
38,38,PLAZA LIBERTAD,Cerrito 990,RETIRO,COMUNA 1,VEREDA,-345.972,-583.826
41,41,PARQUE PATRICIOS II,3015 Av. Caseros,PARQUE PATRICIOS,COMUNA 4,VEREDA,-34.637.404.093.626.700,-5.840.572.857.857.670
43,334,CENTRO DE EXPOSICIONES,Figueroa Alcorta 2133,RECOLETA,COMUNA 2,PLAZOLETA,-345.839,-58.391
44,44,ECOPARQUE,Av. Del Libertador 3260,PALERMO,COMUNA 14,VEREDA,-345.759,-584.135
45,45,URUGUAY,Uruguay 561,SAN NICOLAS,COMUNA 1,VEREDA,-346.021,-583.866
46,46,CHILE,Perú 718,SAN TELMO,COMUNA 1,VEREDA,-34.616.428,-58.374.515
48,34,COLONIA EXPRESS,Elvira Rawson de Dellepiane 150,PUERTO MADERO,COMUNA 1,VEREDA,-34.624.271,-58.363.232
49,49,33 ORIENTALES,Constituciòn 4122,BOEDO,COMUNA 5,CALZADA,-346.288,-584.223
50,50,HOSPITAL RIVADAVIA,Pereyra Lucena 2516,PALERMO,COMUNA 14,CALZADA,-345.837,-584.011
51,51,TUCUMÀN,Tucuman 1087,SAN NICOLAS,COMUNA 1,PLAZOLETA,-346.014,-583.816
54,54,ACUÑA DE FIGUEROA,Lavalle 4010,ALMAGRO,COMUNA 5,CALZADA,-345.982,-584.219
56,56,PLAZA PALERMO VIEJO,Armenia 1829,PALERMO,COMUNA 14,CALZADA,-345.885,-584.258
57,57,BELGRANO,Balcarce 482,MONSERRAT,COMUNA 1,VEREDA,-34.613.504,-58.370.659
58,58,MINISTRO CARRANZA,"Av, Santa Fe 5327",PALERMO,COMUNA 14,VEREDA,-345.751,-584.355
59,18,INDEPENDENCIA,Av. Independencia 1000,MONSERRAT,COMUNA 1,PLAZOLETA,-346.176,-583.799
60,60,25 DE mayo,25 De may 0527,SAN NICOLAS,COMUNA 1,VEREDA,-346.017,-583.712
61,98,BENITO JUAREZ,Benito Juarez 2231,MONTE CASTRO,COMUNA 10,CALZADA,-346.189,-585.051
63,63,RECONQUISTA,Viamonte 555,SAN NICOLAS,COMUNA 1,VEREDA,-34.599.813,-58.374.677
64,64,RIOBAMBA,Riobamba 1264,RECOLETA,COMUNA 2,CALZADA,-34.594,-583.944
65,65,JULIÁN ALVAREZ,Guemes 3822,PALERMO,COMUNA 14,CALZADA,-345.872,-584.159
66,66,BILLINGHURST,De La Carcova 3508,RECOLETA,COMUNA 2,CALZADA,-345.946,-584.139
68,105,PARQUE SAAVEDRA,García del Río 3590,SAAVEDRA,COMUNA 12,CALZADA,-345.522,-584.805
69,69,ECUADOR,Ecuador 1226,RECOLETA,COMUNA 2,PLAZOLETA,-345.958,-584.045
70,70,ARAOZ,Araoz 1413,PALERMO,COMUNA 14,CALZADA,-345.927,-584.258
71,71,CERRITO,Av. Pres. Roque Sáenz Peña 1194,SAN NICOLAS,COMUNA 1,VEREDA,-346.034,-583.822
73,73,RUY DIAZ DE GUZMAN,99 Ruy Díaz de Guzmán,LA BOCA,COMUNA 4,PLAZOLETA,-346.305,-583.717
74,74,INSTITUTO LELOIR,Juana de Ibarbourou 1037,CABALLITO,COMUNA 6,VEREDA,-346.044,-584.347
75,75,PLAZA PRIMERO DE MAYO,Pichincha 238,BALVANERA,COMUNA 3,CALZADA,-346.124,-583.989
76,76,AYACUCHO,Ayacucho 150,BALVANERA,COMUNA 3,CALZADA,-346.071,-58.395
77,109,ESTACION PUEYRREDON,Bolivia 5071,VILLA PUEYRREDON,COMUNA 12,VEREDA,-345.811,-585.015
79,79,AZUCENA VILLAFLOR,Azucena Villaflor 260,PUERTO MADERO,COMUNA 1,PLAZOLETA,-346.121,-583.636
80,80,VALLE,Valle 486,CABALLITO,COMUNA 6,VEREDA,-3.462.445.120.607.340,-5.843.426.217.687.040
82,82,HOSPITAL ITALIANO,Rawson 394,ALMAGRO,COMUNA 5,CALZADA,-346.074,-584.263
83,83,PARANÀ,Lavalle 1590,SAN NICOLAS,COMUNA 1,CALZADA,-346.031,-583.893
85,85,AGÜERO,Aguero 1282,RECOLETA,COMUNA 2,CALZADA,-345.945,-584.089
86,86,SAAVEDRA,Saavedra 1019,SAN CRISTOBAL,COMUNA 3,CALZADA,-346.213,-584.018
87,87,GUAYAQUIL,Guayaquil 219,CABALLITO,COMUNA 6,CALZADA,-346.198,-584.313
89,89,CABELLO,3082 Cabello,PALERMO,COMUNA 14,CALZADA,-345.825,-584.054
91,91,PASCO,Pasco 708,BALVANERA,COMUNA 3,CALZADA,-346.175,-583.976
92,92,SALCEDO,Salcedo 2908,PARQUE PATRICIOS,COMUNA 4,CALZADA,-346.317,-58.405
93,93,CARLOS CALVO,Sarandi 1010,SAN CRISTOBAL,COMUNA 3,CALZADA,-346.208,-583.945
94,94,GUZMÁN,Av. Guzman 129,CHACARITA,COMUNA 15,PLAZA,-345.917,-584.497
95,95,ESMERALDA,Av. Antártida Argentina y Cecilia Grierson,PUERTO MADERO,COMUNA 1,VEREDA,-3.459.836.067.704.460,-58.368.272.681.366.000
96,96,CARLOS GARDEL,Guardia Vieja 3302,BALVANERA,COMUNA 3,CALZADA,-346.029,-584.116
98,37,CLAUDIA PIA BRAUDACCO,Esmeralda 5,SAN NICOLAS,COMUNA 1,VEREDA,-346.082,-583.778
99,99,MALABIA,Malabia 780,VILLA CRESPO,COMUNA 15,CALZADA,-345.963,-584.356
101,101,FITZ ROY,Fitz Roy 1092,CHACARITA,COMUNA 15,CALZADA,-345.891,-584.424
102,102,ROSETI,Roseti 390,CHACARITA,COMUNA 15,CALZADA,-34.585.039,-58.449.411
104,104,FEDERICO LACROZE,Av. Guzman 1000,CHACARITA,COMUNA 15,PLAZOLETA,-345.857,-584.602
107,107,HOSPITAL GARRAHAN,Av. Brasil 2290,PARQUE PATRICIOS,COMUNA 4,VEREDA,-34.630.377.186.594.800,-583.958.441.087.033
111,111,MACACHA GUEMES,350 Macacha Güemes,PUERTO MADERO,COMUNA 1,PLAZOLETA,-346.048,-583.639
112,112,9 DE julio,Bernardo de Irigoyen 320,MONSERRAT,COMUNA 1,PLAZOLETA,-346.121,-583.805
114,114,DELLA PAOLERA,Carlos M. Della Paolera 297,RETIRO,COMUNA 1,PLAZOLETA,-345.949,-583.723
116,116,HOSPITAL ALEMÁN,Beruti 2592,RECOLETA,COMUNA 2,CALZADA,-345.921,-584.028
117,117,HUMBERTO 1°,Av. Carlos Calvo 513,SAN TELMO,COMUNA 1,CALZADA,-34.619.610,-58.373.186
118,118,MÉXICO,Saavedra 618,BALVANERA,COMUNA 3,CALZADA,-346.167,-584.027
120,120,HOSPITAL RAMOS MEJÍA,Agrelo 3048,BALVANERA,COMUNA 3,CALZADA,-346.176,-584.092
121,121,YATAY,Yatay 925,ALMAGRO,COMUNA 5,CALZADA,-346.007,-584.283
122,122,COSTA RICA,Costa Rica 4060,PALERMO,COMUNA 14,PLAZA,34.591.648,-58.419.581
124,124,UGARTECHE,Ugarteche 3050,PALERMO,COMUNA 14,CALZADA,-345.808,-584.121
126,126,MINISTERIO DE JUSTICIA Y SEGURIDAD,Av. Regimiento De Patricios 1107,LA BOCA,COMUNA 4,VEREDA,-346.402,-583.692
128,128,PARQUE DEL BAJO,Tte. Gral. Juan Domingo Perón 133,SAN NICOLAS,COMUNA 1,PLAZA,-3.460.515.159.134.760,-5.836.882.117.863.410
130,130,RETIRO II,Av. Dr. José María Ramos Mejía 115,RETIRO,COMUNA 1,PLAZA,-34.591.737.677.280.200,-5.837.436.403.766.990
131,131,HOSPITAL DE CLÍNICAS,Pres. José E. Uriburu 888,RECOLETA,COMUNA 2,VEREDA,-345.983,-58.399
132,132,CORRIENTES,Av. Corrientes 420,SAN NICOLAS,COMUNA 1,PLAZOLETA,-346.031,-583.725
134,134,SOLDADO DE LA FRONTERA,Ana Diaz 5651,VILLA LUGANO,COMUNA 8,VEREDA,-34.683.188,-58.468.952
135,135,MARCELO T. DE ALVEAR,Esmeralda 902,RETIRO,COMUNA 1,VEREDA,-345.975,-583.784
137,137,AZOPARDO Y CHILE,Azopardo 700,MONSERRAT,COMUNA 1,CALZADA,-346.156,-583.675
138,138,HOSPITAL BRITÁNICO,153 Perdriel,BARRACAS,COMUNA 4,CALZADA,-346.354,-583.877
144,144,PUEYRREDÓN,Boulogne Sur Mer 684,BALVANERA,COMUNA 3,CALZADA,-346.021,-584.061
146,146,HOSPITAL FRANCÉS,Carlos Calvo 3015,SAN CRISTOBAL,COMUNA 3,CALZADA,-346.222,-584.078
149,149,LIMA,Mexico 1000,MONSERRAT,COMUNA 1,PLAZOLETA,-346.153,-583.816
150,150,RODRIGO BUENO,Av. España 2200,PUERTO MADERO,COMUNA 1,VEREDA,-346.233,-583.535
151,151,AIME PAINÉ,Azucena Villaflor 489,PUERTO MADERO,COMUNA 1,PLAZOLETA,-346.116,-583.619
152,152,JULIETA LANTERI,Julieta Lanteri 1715,PUERTO MADERO,COMUNA 1,PLAZA,-346.173,-583.598
153,153,JUAN MANUEL BLANES,Av. Alte. Brown 653,LA BOCA,COMUNA 4,VEREDA,-34.630.966,-58.362.831
155,155,PARQUE URIBURU,Quilmes 491,NUEVA POMPEYA,COMUNA 4,CALZADA,-3.464.504.689.342.970,-5.841.744.881.739.320
156,156,PLAZA ALEMANIA,Cavia 2939,PALERMO,COMUNA 14,CALZADA,-345.778,-584.075
158,158,VILLARROEL,Villarroel 1321,CHACARITA,COMUNA 15,CALZADA,-345.925,-584.452
161,161,HUMAHUACA,Humahuaca 3912,ALMAGRO,COMUNA 5,CALZADA,-346.021,-584.195
162,162,LARREA Y BARTOLOMÉ MITRE,Larrea 80,BALVANERA,COMUNA 3,VEREDA,-34.609,-58.402
163,163,ONCE II,Av. Puerredon 35,BALVANERA,COMUNA 3,PLAZA,-346.088,-58.406
164,164,FACULTAD DE INGENIERÍA,Av. Paseo Colón 823,SAN TELMO,COMUNA 1,VEREDA,-3.461.733.439.654.630,-58.369.682.027.706.300
165,165,PLAZA MONSEÑOR MIGUEL DE ANDREA,Dr. Tomas Manuel de Anchorena 984,RECOLETA,COMUNA 2,VEREDA,-34.597,-584.076
166,166,CEMENTERIO DE RECOLETA,Vicente Lopez 2100,RECOLETA,COMUNA 2,VEREDA,-345.894,-583.928
167,275,PLAZA 24 DE SEPTIEMBRE,"Av, San Martin 1355",CABALLITO,COMUNA 6,PLAZA,-346.072,-58.448
168,168,ESTADOS UNIDOS,Estados Unidos 1000,CONSTITUCION,COMUNA 1,VEREDA,-346.185,-583.815
169,169,FACULTAD DE PSICOLOGIA,Hipólito Yrigoyen 3221,BALVANERA,COMUNA 3,PLAZA CERRADA,-346.119,-584.117
171,171,PASTEUR,Pasteur 519,BALVANERA,COMUNA 3,CALZADA,-346.031,-583.995
172,172,BRASIL,Brasil 406,SAN TELMO,COMUNA 1,PLAZA,-346.254,-583.711
174,174,MINISTERIO DE EDUCACIÓN,Marcelo T. de Alvear 1697,RECOLETA,COMUNA 2,PLAZOLETA,-345.972,-583.918
175,147,CONSTITUCIÓN,Av. Juan de Garay 1150,CONSTITUCION,COMUNA 1,PLAZOLETA,-346.268,-583.816
176,67,PARQUE SARMIENTO I,Av. Dr. Ricardo Balbin 4402,SAAVEDRA,COMUNA 12,VEREDA,-345.555,-584.958
177,177,PLANETARIO,Av. Belisario Roldan 4300,PALERMO,COMUNA 14,VEREDA,-345.681,-584.122
179,179,CASA SAN,Olavarria 861,LA BOCA,COMUNA 4,CALZADA,-346.385,-583.644
181,181,BILLINGHURST Y MANSILLA,Billinghurst 1520,RECOLETA,COMUNA 2,CALZADA,0,0
182,182,RAVIGNANI Y GUATEMALA,Dr. Emilio Ravignani 2185,PALERMO,COMUNA 14,CALZADA,-345.781,-584.352
183,183,VIRREY CEVALLOS,Mexico 1652,MONSERRAT,COMUNA 1,CALZADA,-346.156,-583.897
184,184,PEDRO ECHAGUE,Pedro Echague 1878,PARQUE PATRICIOS,COMUNA 4,CALZADA,-346.307,-583.913
186,186,MANZANA 66,Moreno 2875,BALVANERA,COMUNA 3,PLAZA,-346.135,-584.062
187,261,QUINTEROS LIDORO,Av. J. Lidoro Quinteros 1483,BELGRANO,COMUNA 13,PLAZOLETA,-345.525,-584.509
188,373,JORGELINA DE SIMONE,Cochabamba 1755,CONSTITUCION,COMUNA 1,CALZADA,-346.239,-583.905
189,189,POSADAS,Posadas 1350,RETIRO,COMUNA 1,CALZADA,-345.885,-583.856
190,190,JUNCAL,Juncal 3302,PALERMO,COMUNA 14,CALZADA,-345.852,-58.411
191,191,RIVADAVIA Y 9 DE JULIO,Pellegrini 27,SAN NICOLAS,COMUNA 1,PLAZOLETA,-346.084,-583.807
193,193,ARENALES Y AGUERO,Arenales 2882,RECOLETA,COMUNA 2,CALZADA,-345.911,-58.406
194,194,PERÓN Y ACUÑA DE FIGUEROA,Tte. General Juan Domingo Peron 3997,ALMAGRO,COMUNA 5,CALZADA,-34.606,-584.227
196,196,HOSPITAL ARGERICH,Pi y Margall 750,LA BOCA,COMUNA 4,VEREDA,-346.278,-58.366
197,197,PLAZA CIUDAD DE UDINE,Mercedes 1480,FLORESTA,COMUNA 10,CALZADA,-346.210,-584.930
199,199,ESTADOS UNIDOS Y BOEDO,Estados Unidos 3568,BOEDO,COMUNA 5,CALZADA,-346.224,-584.159
200,200,AUSTRIA Y FRENCH,Austria 2080,RECOLETA,COMUNA 2,CALZADA,-345.882,-584.044
202,1,FACULTAD DE DERECHO,Av. Pres. Figueroa Alcorta 2120,RECOLETA,COMUNA 2,VEREDA,-345.841,-583.908
203,108,USINA DEL ARTE,Agustin R. Caffarena 49,LA BOCA,COMUNA 4,VEREDA,-346.287,-58.356
204,167,HIPÓLITO YRIGOYEN,"4300 Yrigoyen, Hipolito Av.",ALMAGRO,COMUNA 5,VEREDA,-346.151,-584.273
205,125,F. J. SANTAMARÍA DE ORO,Fray Justo Santamaria De Oro 2107,PALERMO,COMUNA 14,VEREDA,-345.834,-584.281
206,159,FITZ ROY Y GORRITI,Fitz Roy 1593,PALERMO,COMUNA 14,CALZADA,-345.849,-584.372
